,potential_ceo_company
28932,Ron Johnson
29050,Xinhua Finance
29424,Steve Cohen
29459,Michael Dell What
29686,Sean Parker Salesforce
29687,Mark Benioff Ian Osborne London
29710,Black President
29712,Clothiers Inc
29978,Os
30074,Ron Johnson
30076,Penney
30108,Ackman
30418,Ron Johnson
31075,Steve Ballmer
31076,Harvard Steve
31124,Goldman Sachs
31125,Lloyd Blankfein
31129,Goldman Sachs
31356,StanleyLive
31357,Stream Yahoo
31358,Marissa Mayer
31534,Davos
31536,Lloyd Blankfein
31669,Howard Schultz
31674,Starbucks
31938,Frank
32353,Sources Recession Forecasts Dwaine
32354,Vuuren
32355,RecessionAlert
32471,Frontline Ltd
32472,Approximately
32710,The
32718,The
32905,The
32981,Morgan Stanley
32982,John Mack
32983,Upper East Side
33129,Morgan Chase
33130,Jamie Dimon
33168,Flaherty Director Corporate Citizenship Citi President
33169,Citi Foundation
33232,Bloomberg
33267,It
33344,Lloyd Blankfein
33345,Gasparino
33669,Doug Oberhelman
33869,Despite
34178,Pershing Square
34451,Richard Handler
34453,Goldman Sachs
34454,Lloyd Blankfein
34465,Handler
34466,Fidelity InvestmentsDespite
34567,Caterpillar
34615,Canadian Press
34620,Canadian
34626,The
34769,Jefferies
34890,Bloomberg
34945,Bill Ackman
35035,Alan Mulally Ford
35281,Richard Handler
35282,Lehman Brothers
35283,Richard Fuld
35402,Capital Partners Pritzker Realty Group
35403,Pritzker
35522,Investment
35905,Call
35907,Greg Smith
35936,Jim
35941,Jim
36035,Yesterday Chesapeake Energy
36036,Aubrey McClendon
36077,Watch Below Trulia
36316,Permanent Committee Investigations
36322,Jamie Dimon
36384,Boeing
36634,Wikimedia Commons Wikimedia Commons Currencymuseum
36697,Wynn Resorts
36698,Steve Wynn
36699,Macau
36883,Jamie Dimon Nouriel Roubini
36972,American
37123,David Nagle Iowa
37178,Mike Jeffries
37181,Jeffries
37192,Nanex
37196,Wild
37397,February
37399,Pershing Square Capital Management Mark Axelowitz
37409,The Howard Hughes Corporation
37482,Morgan Stanley
37483,James Gorman
37506,Scott Davis
37509,Washington
37528,Os Juergen Fitschen Anshu Jain
37577,Mark Zuckerberg
38074,Sources Recession Forecasts Dwaine
38075,Vuuren
38076,RecessionAlert
38207,Erian
38620,Os
38662,Most
38836,Anand Nallathambi
38837,CoreLogic
39017,Post
39274,Fitschen
39278,Anshu Jain
39509,Ive
40068,Corporation Enterprise Development
40217,Chairman
40275,Everyone Financial Infotainment Industrial Complex
40346,Jamie Dimon
40347,South Florida Economic Summit Miami
40399,Larry Fink
40611,Herbalife
40693,Mohamed El
40694,Erian
40944,Carlyle Group David Rubenstein
41002,Bank
41184,Sony
41257,Steve Ells Founder Chairman Co
41258,Chipotle
41268,Monty Moran
41269,Chipotle
41848,Friday
41900,Dell
41947,Ron Johnson
41950,Penney
42579,Fox
42601,Ron Johnson
42603,Penney
42771,Apple
42924,Chief Henry Blodget
42994,Ron Johnson
42995,Penney
42999,We
43029,Eric Hunsader
43117,He
43126,Aubrey McClendon
43127,Chesapeake Energy
43128,Clendon
43281,Carol Evans
43282,National Association Female Executives
43601,Lehman Brothers Bear Stearns Merrill Lynch Morgan Stanley Countrywide
43776,June
43777,Thorsten Heins
43778,Associated Press Heins
44288,Graziadio School Business Management Pepperdine University
44291,Graziadio School Business Management Pepperdine University
44301,Conceptual Practical Investment Approaches
44517,Vikram Pandit
44518,Michael Corbat
44688,But Richard Bernstein
44689,Richard Bernstein Advisors
44703,Templeton Emerging Markets Group
44704,Mark Mobius
44718,Skiddy
44719,Stade
44720,OneWire
45213,By
45279,The Atlantic Jeff Immelt
45295,Alcatel
45296,Lucent
45297,Verwaayen
45298,Alcatel
45299,Lucent
45300,Ben Verwaayen
45657,Os
46244,Bob Diamond
46255,October
46314,Sources Recession Forecasts Dwaine
46315,Vuuren
46316,RecessionAlert
46913,Closings Emergencies Connecticut Massachusetts Rhode Island
46962,Don Thompson
47300,Facebook
47323,Michael Dell
47324,Silver Lake Microsoft
47484,McCabe Research Consulting Deerfield Beach
47869,Morgan
47994,Gristedes
47995,John Catsimatidis
48453,Elon Musk
48795,John Ulzheimer
48796,Smartcredit
48852,Skullcandy
48853,Rick Alden
49000,International Petroleum Investment Company
49542,We
49609,Governor Romney
49686,How
49728,Siemens America
49763,Governor Romney
49962,Eric Schmidt
49975,Prime Minister Japan
49995,Chairman
49996,Comcast Corporation
49997,We
50004,Screenshot
50006,Tim Cook
50007,Greenlight Capital
50008,David Einhorn
50050,Carol Evans
50051,National Association Female Executives
50054,Ginni Rometty
50549,Tim Cook
50550,Goldman Sachs
50722,February
50723,Patti Hart Chairman Phil Satre
50726,Chairman
51326,Airways
51327,Doug Parker
51328,Tom Horton
51349,American
51379,Horton
51457,Larry Ellison
51458,Island Air
51468,Ellison Hawaiian
51519,Yves Roussel
51520,Burch
51643,Hughes
51644,David Weinreb
51668,Andrew Feldstein
51669,BlueMountain Capital
51825,Twitter
51984,Wall Street
52198,Michael Dell
52213,Gerald Storch
52338,For
52536,Southeastern Asset Management
52570,Silver Lake
52760,December
52819,Ron Johnson
52836,Creative CommonsThe New York Times John Broder
52838,Elon Musk
52840,Tesla
52947,Pershing Square Capital Management
52956,David Einhorn
52957,Greenlight Capital
53008,Wellpoint Westlake Chemical Weatherford International Vertex Pharmaceuticals United Health Group United Technologies Royal Bank Scotland
53232,Penney
53261,Os Fed Governor Daniel Tarullo
53347,Sally Smith
53382,Sunday
53383,Elon Musk
53384,Twitter Bloomberg
53416,Tesla
53451,Apple
53516,French
53622,Heinz Chairman President
53632,Buffett Chairman
53633,Berkshire Hathaway
53641,Heinz
53825,Mohamed El
54315,Ackman
54325,Bill Ackman
54333,Pershing Square Capital Management
54348,Steve Cohen
54380,In
54461,John Chambers
54465,Oracle
54494,Hilary SargentCriteoCriteo
54496,Baptiste Rudelle Ad
54519,Antony Jenkins
54680,Pershing Square Capital Management
54830,Apple
54866,Apple
55285,St
55794,Once
55929,Right
56420,Ministry Information Communications
56606,DeSanctis Revel
56775,Elon Musk
56880,Bank America
56881,Brian Moynihan
56887,Goldman Sachs
56888,Lloyd Blankfein
56890,Jamie Dimon
56893,Richard Handler
56980,Obesity
56995,Pershing Square Capital Management
57194,Hopes Advance
57195,Oceanic Iron Ore Corp
57199,Steven Dean Chairman
57200,Alan Gorman President
57224,Mary River
57240,Bloomberg
57276,Goldman
57350,James Spencer Matthews
57351,Eden Rock Capital Management
57352,Insights
57726,Barclays
57822,Bill Ackman
57870,Consumer Discretionaries Financials
57908,Office Depot
57909,Neil Austrian
58035,Fiat
58036,Sergio Marchionne
58093,Goldman
58110,Tesla
58288,Elon Musk
58289,New York Times
58661,National Advisory Council International Monetary Financial Policies
58678,Committee Foreign Currency Subcommittee Chairman Committee
58690,Committee Subcommittee Subcommittee
58738,Policy External Communications Committee Participants Policy External Communications Federal Reserve System Staff
58965,Maurice Taylor Secretary Industrial Productivity Reform Arnaud Montebourg
58974,Titan
59231,Pershing Square
59232,Capital Management
59442,Billion Global Office Solutions Company Two Leading Companies Combine Build Stronger More Efficient Competitor Able Meet Growing Challenges Rapidly Changing Industry Customers Will Benefit Unique Innovative Products Services Solutions Available Through Global Multichannel Network Combined Company Positioned Sustainable Long
59459,Ravi Saligram President
59460,OfficeMax
59479,Os
59480,Austrian Chairman
59481,Office Depot Ravi Saligram President
59482,OfficeMax
59510,Ravi Saligram President
59511,OfficeMax
59512,Bruce Besanko
59513,Chief Financial Officer Chief Administrative Officer OfficeMax
59514,Neil Austrian Chairman
59515,Office Depot
59516,Mike Newman
59517,Chief Financial Officer Office Depot
59627,Alphaville
59629,Titan International
59631,Maurice Taylor
59663,French
59672,Jr
59674,National Futures Association
59675,Jon Corzine
59899,Sullivan
60026,Goldman
60122,StaffCitigroup
60123,Michael Corbat
60126,October
60127,Vikram Pandit
60129,Sachs
60130,Lloyd Blankfein
60132,Richard Handler
60134,Jamie Dimon
60136,Bank American
60137,Brian Moynihan
60268,David Einhorn
60269,Greenlight Capital
60286,Morgan
60296,David Einhorn
60297,Greenlight Capital
60310,Tim Cook
60446,Goldman
60656,Patti Hart
60668,Patti Hart
60680,Chuck Mathewson
60692,Ader
60772,Rosalind Brewer
60910,Andrei Kostin Andrei Bugrov
61502,Eddie Lampert
61515,Sears
61522,Douglas EllimanThe
61523,Willis Group Holdings Joseph Plumeri
61528,Bloomberg News
61547,Tim Cook
61654,Results
61761,When
62056,Clayton Woitas
62062,Encana
62221,Ron Johnson
